name,username,mail,password,matricNum,gender,nationality
Ta Quynh Nga,quynhnga001,quynhnga001@e.ntu.edu.sg,d9e863188820693993a59527ebd47ca0,U111111L,F,Vietnamese
Tan Chinh Fhen,chingfhen001,chingfhen001@e.ntu.edu.sg,9a0ea00a52013980176ea84a7a220831,U222222L,M,Singaporean
Goyal Bhavya,bhavya001,bhavya001@e.ntu.edu.sg,a837eb1094d339ef1e1a3adea33b30b3,U333333L,F,Indian
Jonathan Jiang Jia Long,jialong001,jialong001@e.ntu.edu.sg,219103736c35bc41f7129f260d536bae,U444444L,M,Chinese
Ta Quynh Nga A,taqn002,taqn002@e.ntu.edu.sg,438e68c823f3f6d61fd358a9b8edd3f1,U555555L,F,Vietnamese
Tan Chinh Fhen A,tancf002,tancf002@e.ntu.edu.sg,f73941fd53854a06d601b7934cc2b2eb,U666666L,M,Singaporean
Jonathan Jiang Jia Long A,jiangjl002,jiangjl002@e.ntu.edu.sg,bcead2fcceddcda58e863c1345639691,U777777L,F,Indian
Goyal Bhavya A,goyal002,goyal002@e.ntu.edu.sg,ac57e52b6c70f1dd14ad3f46af6cbd34,U888888L,M,Chinese
Hanna Ta Quynh Nga,hanna003,hanna003@e.ntu.edu.sg,4b85834168939a4369412817bf5a0417,U999999L,F,Vietnamese
Jonathan Jiana Jia Long X,jonathan003,jonathan003@e.ntu.edu.sg,a32a91d3fe8c9a64a6b1c6f1bc6fd82a,U000000L,M,Singaporean
Ta Quynh Nga B,tqn004,tqn004@e.ntu.edu.sg,2a79b54c6fe7edd7029d7903bec0cc19,U101010L,F,Indian
Tan Ching Fhen B,tcf004,tcf004@e.ntu.edu.sg,1dc9920408054c48bef74173e39ffc1a,U292929L,M,Chinese
Goyal Bhavya B,gb004,gb004@e.ntu.edu.sg,dcec9ff5d0b40c554f1129f02d719b72,U383838L,F,Vietnamese
Jiang Jia Long B,jjl004,jjl004@e.ntu.edu.sg,81d4d035d5793d450ce6a95dd074dbd2,U474747L,M,Singaporean
Jiang Jia Long C,jon005,jon005@e.ntu.edu.sg,847eb34218812aad0c24dff6f35c3b0c,U565656L,F,Indian
Hanna Ta C,hannata005,hannata005@e.ntu.edu.sg,d7b071cf2b4f8079fc171939c47db6f4,U656565L,M,Chinese
