username,mail,pwString,pwHash
quynhnga001,quynhnga001@e.ntu.edu.sg,quynhnga001,d9e863188820693993a59527ebd47ca0
chingfhen001,chingfhen001@e.ntu.edu.sg,chingfhen001,9a0ea00a52013980176ea84a7a220831
bhavya001,bhavya001@e.ntu.edu.sg,bhavya001,a837eb1094d339ef1e1a3adea33b30b3
jialong001,jialong001@e.ntu.edu.sg,jialong001,219103736c35bc41f7129f260d536bae
taqn002,taqn002@e.ntu.edu.sg,taqn002,438e68c823f3f6d61fd358a9b8edd3f1
tancf002,tancf002@e.ntu.edu.sg,tancf002,f73941fd53854a06d601b7934cc2b2eb
jiangjl002,jiangjl002@e.ntu.edu.sg,jiangjl002,bcead2fcceddcda58e863c1345639691
goyal002,goyal002@e.ntu.edu.sg,goyal002,ac57e52b6c70f1dd14ad3f46af6cbd34
hanna003,hanna003@e.ntu.edu.sg,hanna003,4b85834168939a4369412817bf5a0417
jonathan003,jonathan003@e.ntu.edu.sg,jonathan003,a32a91d3fe8c9a64a6b1c6f1bc6fd82a
tqn004,tqn004@e.ntu.edu.sg,tqn004,2a79b54c6fe7edd7029d7903bec0cc19
tcf004,tcf004@e.ntu.edu.sg,tcf004,1dc9920408054c48bef74173e39ffc1a
gb004,gb004@e.ntu.edu.sg,gb004,dcec9ff5d0b40c554f1129f02d719b72
jjl004,jjl004@e.ntu.edu.sg,jjl004,81d4d035d5793d450ce6a95dd074dbd2
jon005,jon005@e.ntu.edu.sg,jon005,847eb34218812aad0c24dff6f35c3b0c
hannata005,hannata005@e.ntu.edu.sg,hannata005,d7b071cf2b4f8079fc171939c47db6f4
abob,abob@e.ntu.edu.sg,abob,8201abd06f03cdab98da0a22574678d1
bchrles,bchrles@e.ntu.edu.sg,bchrles,7c8f917094646cb3d5932ce69c32677b
cdavid,cdavid@e.ntu.edu.sg,cdavid,54636087e362a05c75156e2058bd5649
jos,jos@e.ntu.edu.sg,jos,6f7f3b0fb100c0b0fb21a0287cd72f7b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
1,1@e.ntu.edu.sg,1,c4ca4238a0b923820dcc509a6f75849b
abc,abc@e.ntu.edu.sg,abc,900150983cd24fb0d6963f7d28e17f72
cdf,cdf@e.ntu.edu.sg,cdf,0117c830058d9adffb859f1b167d4acc
adfh,adfh@e.ntu.edu.sg,adfh,b55b8fb6c91c9538c65d48d0f363ac7a
ikon2015,ikon2015@e.ntu.edu.sg,ikon2015,d67873cb9776f7e2eb922a7561d5fa40
ikon,ikon@e.ntu.edu.sg,ikon,d369cf23c652a80e7e39e11f322a1b8d
NTU,NTU@e.ntu.edu.sg,NTU,03c2c42f2ba8375e1600946be44f9175
